Longitude,Latitude,D_Middle School,Rooms,Halls,Area,Orientation,Renovation,Floor_Position,Total_Floors,Building_Type,D_Hospital,D_Subway Station,D_Primary_School,Price
120.6116402,31.30792382,994.7202149,2,2,91.13,2,1,2,11,1,1476.033273,740.1099532,475.2052458,240
120.7186224,31.3647637,0,3,2,125.44,2,1,2,18,3,528.8729995,1383.593868,0,330
120.6260916,31.40447133,0,3,1,127.49,2,1,2,9,3,718.2330199,204.041903,2377.46584,335
120.7626518,31.37488415,1929.407795,3,2,125.88,2,1,1,7,3,4694.391222,1502.059794,1929.407795,330
120.6150678,31.27847116,595.1477882,3,2,138.06,2,1,3,17,1,211.4793075,75.218225,228.6063911,360
120.6477194,31.31017342,698.9326267,3,1,64.5,2,2,1,6,1,828.7132115,642.3153288,698.9326267,168
120.6492609,31.33214401,1079.769555,4,2,126.8,2,1,3,9,0,1683.983105,1883.552276,977.7474755,330
120.6274471,31.27267956,925.8629588,4,2,141.48,2,1,2,17,3,616.8064888,699.092822,799.9745754,368
120.770083,31.31413574,2015.192287,1,2,58.86,2,1,3,18,3,472.4244096,1429.199891,1339.071651,153
120.6194021,31.31851158,446.8396108,2,1,59.71,2,1,1,3,0,724.3217401,808.4381293,474.5310303,155
120.7630349,31.33931236,3187.343862,2,2,84.96,2,1,1,26,3,2572.493553,0,2653.272381,220
120.747263,31.30015084,461.4275314,3,2,130.68,2,2,1,18,3,2515.190095,582.264375,461.4275314,338
120.6335402,31.15366038,5171.616881,3,2,125.71,2,1,3,17,3,930.855773,628.4336833,2104.83575,325
120.6497698,31.26411784,924.0646067,5,3,181.17,2,2,1,3,1,1218.122145,965.6699285,2219.133643,468
121.142709,31.2928549,6501.362839,3,2,96.53,2,3,2,11,1,3299.965299,4261.788419,581.1436336,249
120.7630349,31.33931236,3187.343862,3,2,98.89,2,1,1,15,1,2572.493553,0,2653.272381,255
120.7722922,31.33746697,3317.13691,3,2,120.25,2,1,2,27,3,2433.201706,902.8211855,2818.260152,310
120.6057663,31.4030333,1935.619231,3,2,127.86,2,1,3,25,1,1887.481797,621.0461833,3548.393207,329
